	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Argentina	52	34	28	30	30	35	35	28	25	25	28	29	29	29	29	29	30	35	34	34	32
Australia	88	86	89	87	87	83	85	86	88	88	88	87	86	87	87	87	88	85	81	80	79
Austria	71	76	76	75	76	77	78	78	80	84	87	86	81	81	79	79	78	69	69	72	76
Azerbaijan	0	0	0	0	17	15	20	20	18	19	22	24	21	19	23	24	24	27	28	29	29
Bangladesh	0	0	0	0	0	23	4	12	13	15	17	20	20	21	24	24	27	26	27	25	25
Belarus	0	0	0	0	39	34	41	48	42	33	26	21	21	20	24	25	24	31	29	31	32
Belgium	69	68	53	54	53	61	66	71	76	75	74	73	71	73	71	71	75	75	75	76	77
Bolivia	0	34	21	28	25	27	20	22	23	22	25	27	29	30	27	28	28	34	34	35	34
Brazil	27	30	36	40	41	39	40	40	39	39	37	33	35	35	37	37	38	43	42	43	38
Bulgaria	0	0	0	29	33	35	39	40	39	41	40	40	41	36	38	36	33	41	41	43	41
Cameroon	0	0	25	14	15	20	20	22	18	21	22	23	24	23	22	22	25	26	25	27	27
Canada	89	90	91	92	92	92	89	90	87	85	84	85	87	87	87	89	87	84	81	81	83
Chile	79	68	61	68	69	74	75	75	74	74	73	73	70	69	67	72	72	72	71	73	70
China	22	24	29	35	34	31	35	35	34	34	32	33	35	36	36	35	36	39	40	36	37
Colombia	34	27	22	22	29	32	38	36	37	38	40	39	38	38	37	35	34	36	36	37	37
Costa Rica	0	0	65	56	51	54	45	45	43	49	42	41	50	51	53	53	48	54	53	54	55
Croatia	0	0	0	0	27	37	39	38	37	35	34	34	41	44	41	41	40	46	48	48	51
Czech Republic	0	54	52	48	46	43	39	37	39	42	43	48	52	52	49	46	44	49	48	51	56
Denmark	93	93	99	100	100	98	95	95	95	95	95	95	94	93	93	93	94	90	91	92	91
Ecuador	0	0	32	23	24	26	23	22	22	24	25	23	21	20	22	25	27	32	35	33	32
Egypt	0	0	28	29	33	31	36	34	33	32	34	33	29	28	28	31	29	32	32	37	36
El Salvador	0	0	0	36	39	41	36	34	37	42	42	40	40	39	34	36	34	38	38	39	39
Estonia	0	0	0	57	57	57	56	56	55	60	64	67	65	66	66	65	64	64	68	69	70
Finland	91	91	95	96	98	100	99	97	97	97	96	96	94	90	89	92	94	90	89	89	90
France	70	70	67	67	66	67	67	63	69	71	75	74	73	69	69	68	70	71	71	69	70
Germany	81	83	82	79	80	76	74	73	77	82	82	80	78	79	80	79	80	79	78	79	81
Ghana	0	0	0	33	33	35	34	39	33	36	35	33	37	39	39	41	39	45	46	48	47
Greece	40	50	54	49	49	49	42	42	43	43	43	44	46	47	38	35	34	36	40	43	46
Guatemala	0	0	0	0	31	32	29	25	24	22	25	26	28	31	34	32	27	33	29	32	28
Honduras	0	0	0	0	17	18	27	27	23	23	26	25	25	26	25	24	26	28	26	29	31
Hungary	41	49	52	50	52	52	53	49	48	48	50	52	53	51	51	47	46	55	54	54	51
Iceland	0	0	0	93	92	91	92	94	96	95	97	96	92	89	87	85	83	82	78	79	79
