Name	Type	Sector	Country	Date Joined
Berlene Enterprises Ltd	Small or Medium-sized Enterprise	Support Services	Kenya	4/20/16
Mansarovar Energy Colombia Ltd	Company	Oil & Gas Producers	Colombia	4/20/16
FMS UY S.R.L.	Small or Medium-sized Enterprise	Forestry & Paper	Uruguay	4/20/16
Plan International Indonesia	NGO Global	Not Applicable	Indonesia	4/20/16
Naturex Ingredientes Naturais 	Small or Medium-sized Enterprise	General Industrials	Brazil	4/19/16
Alcaldia Municipal San Jose Caldas	City	Not Applicable	Colombia	4/19/16
MRV Engenharia e Participacoes	Company	Construction & Materials	Brazil	4/19/16
You Can Care Inc.	NGO Local	Not Applicable	United States of America	4/19/16
"Itconic, S.A."	Company	Software & Computer Services	Spain	4/19/16
Serge Lucense S.A.	Small or Medium-sized Enterprise	Health Care Equipment & Services	Spain	4/19/16
International College	Academic	Not Applicable	Lebanon	4/19/16
Instrelec Services S.L.	Small or Medium-sized Enterprise	Industrial Engineering	Spain	4/19/16
Acota Limited	Small or Medium-sized Enterprise	Chemicals	United Kingdom	4/19/16
praneo	Small or Medium-sized Enterprise	Support Services	Switzerland	4/19/16
Integral Solutions Business S.A.S	Small or Medium-sized Enterprise	Support Services	Colombia	4/19/16
Emprendimiento y Fortalecimiento Empresarial E&F S.A.S	Small or Medium-sized Enterprise	Support Services	Colombia	4/19/16
"Hangzhou Hisound Electronic Co., Ltd."	Small or Medium-sized Enterprise	Electronic & Electrical Equipment	China	4/19/16
Dalian Eurofilm Industrial Ltd.	Small or Medium-sized Enterprise	General Industrials	China	4/19/16
Kakira Sugar Limited	Company	General Industrials	Uganda	4/19/16
Osterreichisches Institut fur Nachhaltige Entwicklung (OIN)	Academic	Not Applicable	Austria	4/19/16
BORNEfonden	NGO Global	Not Applicable	Denmark	4/19/16
D.Mckinsey & Associates	Small or Medium-sized Enterprise	Support Services	Nigeria	4/19/16
whatchado	Small or Medium-sized Enterprise	Support Services	Austria	4/19/16
Afore InverCap	Company	Financial Services	Mexico	4/19/16
Alpplas Endustriyel Yatirimlar A.S.	Company	General Industrials	Turkey	4/19/16
Organizacion DIS	Small or Medium-sized Enterprise	Support Services	Colombia	4/19/16
Know How Asesores S.A.S	Small or Medium-sized Enterprise	Support Services	Colombia	4/18/16
Intrum Justitia AB	Company	Financial Services	Sweden	4/18/16
Atitude Solucoes Empresariais Ltda	Small or Medium-sized Enterprise	Software & Computer Services	Brazil	4/15/16
BGH S.A.	Company	Electronic & Electrical Equipment	Argentina	4/15/16
Antalis Poland Sp. z o.o.	Company	Forestry & Paper	Poland	4/15/16
SiGNa Chemistry Inc.	Small or Medium-sized Enterprise	Chemicals	United States of America	4/15/16
ESIGAS S.A. 	Small or Medium-sized Enterprise	Support Services	Argentina	4/15/16
Kohsel Elektronik A/S	Small or Medium-sized Enterprise	Electronic & Electrical Equipment	Denmark	4/14/16
"Japan Renewable Energy Co., Ltd."	Small or Medium-sized Enterprise	Electricity	Japan	4/14/16
Japan NGO Center for International Cooperation (JANIC) 	NGO Global	Not Applicable	Japan	4/14/16
Sumate Marketing Online	Small or Medium-sized Enterprise	Support Services	Spain	4/14/16
INJAZ Al-Arab	NGO Global	Not Applicable	Jordan	4/14/16
Sud Beton et Logistique	Small or Medium-sized Enterprise	Industrial Transportation	France	4/14/16
Groupe Interima	Small or Medium-sized Enterprise	Support Services	France	4/14/16
"ARVE Constructora, S.A. de C.V."	Small or Medium-sized Enterprise	Construction & Materials	Mexico	4/14/16
Grupo Universal	Company	Financial Services	Dominican Republic	4/13/16
Nur s.r.l.	Small or Medium-sized Enterprise	Media	Italy	4/13/16
Techno Relief Overseas (I) Pvt.Ltd.  	Small or Medium-sized Enterprise	Support Services	India	4/13/16
"Eurovaloraciones, S.A."	Small or Medium-sized Enterprise	Financial Services	Spain	4/13/16
Lebanese American Unversity	Academic	Not Applicable	Lebanon	4/13/16
DEPA S.A.	Small or Medium-sized Enterprise	"Gas, Water & Multiutilities"	Greece	4/13/16
Delifrance SA	Company	Food Producers	France	4/13/16
SGDD - ASAM (Association for Solidarity with Asylum Seekers and Migrants)	NGO Local	Not Applicable	Turkey	4/12/16
Gurhan Insaat ve Tic.Nak.Ith.Ihr. Ltd.Sti.	Small or Medium-sized Enterprise	Construction & Materials	Turkey	4/12/16
Berlene Enterprises Ltd	Small or Medium-sized Enterprise	Support Services	Kenya	4/20/16
Mansarovar Energy Colombia Ltd	Company	Oil & Gas Producers	Colombia	4/20/16
FMS UY S.R.L.	Small or Medium-sized Enterprise	Forestry & Paper	Uruguay	4/20/16
Plan International Indonesia	NGO Global	Not Applicable	Indonesia	4/20/16
Naturex Ingredientes Naturais 	Small or Medium-sized Enterprise	General Industrials	Brazil	4/19/16
Alcaldia Municipal San Jose Caldas	City	Not Applicable	Colombia	4/19/16
MRV Engenharia e Participacoes	Company	Construction & Materials	Brazil	4/19/16
You Can Care Inc.	NGO Local	Not Applicable	United States of America	4/19/16
"Itconic, S.A."	Company	Software & Computer Services	Spain	4/19/16
Serge Lucense S.A.	Small or Medium-sized Enterprise	Health Care Equipment & Services	Spain	4/19/16
International College	Academic	Not Applicable	Lebanon	4/19/16
Instrelec Services S.L.	Small or Medium-sized Enterprise	Industrial Engineering	Spain	4/19/16
Acota Limited	Small or Medium-sized Enterprise	Chemicals	United Kingdom	4/19/16
praneo	Small or Medium-sized Enterprise	Support Services	Switzerland	4/19/16
Integral Solutions Business S.A.S	Small or Medium-sized Enterprise	Support Services	Colombia	4/19/16
Emprendimiento y Fortalecimiento Empresarial E&F S.A.S	Small or Medium-sized Enterprise	Support Services	Colombia	4/19/16
"Hangzhou Hisound Electronic Co., Ltd."	Small or Medium-sized Enterprise	Electronic & Electrical Equipment	China	4/19/16
Dalian Eurofilm Industrial Ltd.	Small or Medium-sized Enterprise	General Industrials	China	4/19/16
Kakira Sugar Limited	Company	General Industrials	Uganda	4/19/16
Osterreichisches Institut fur Nachhaltige Entwicklung (OIN)	Academic	Not Applicable	Austria	4/19/16
BORNEfonden	NGO Global	Not Applicable	Denmark	4/19/16
D.Mckinsey & Associates	Small or Medium-sized Enterprise	Support Services	Nigeria	4/19/16
whatchado	Small or Medium-sized Enterprise	Support Services	Austria	4/19/16
Afore InverCap	Company	Financial Services	Mexico	4/19/16
Alpplas Endustriyel Yatirimlar A.S.	Company	General Industrials	Turkey	4/19/16
Organizacion DIS	Small or Medium-sized Enterprise	Support Services	Colombia	4/19/16
Know How Asesores S.A.S	Small or Medium-sized Enterprise	Support Services	Colombia	4/18/16
Intrum Justitia AB	Company	Financial Services	Sweden	4/18/16
Atitude Solucoes Empresariais Ltda	Small or Medium-sized Enterprise	Software & Computer Services	Brazil	4/15/16
BGH S.A.	Company	Electronic & Electrical Equipment	Argentina	4/15/16
Antalis Poland Sp. z o.o.	Company	Forestry & Paper	Poland	4/15/16
SiGNa Chemistry Inc.	Small or Medium-sized Enterprise	Chemicals	United States of America	4/15/16
ESIGAS S.A. 	Small or Medium-sized Enterprise	Support Services	Argentina	4/15/16
Kohsel Elektronik A/S	Small or Medium-sized Enterprise	Electronic & Electrical Equipment	Denmark	4/14/16
"Japan Renewable Energy Co., Ltd."	Small or Medium-sized Enterprise	Electricity	Japan	4/14/16
Japan NGO Center for International Cooperation (JANIC) 	NGO Global	Not Applicable	Japan	4/14/16
Sumate Marketing Online	Small or Medium-sized Enterprise	Support Services	Spain	4/14/16
